first_name,second_name,element_type,total_points,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,bonus,ict_index,clean_sheets,cards_per_90,points_per_90
Marvelous,Nakamba,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Emiliano,Buendía Stati,MID,117,5,3,2404,34,546.3,438.2,580.0,8,156.6,11,0.0,4.38
Matty,Cash,DEF,57,0,2,1817,29,178.0,298.4,67.0,3,54.4,4,0.2,2.82
Ezri,Konsa Ngoyo,DEF,110,0,0,3322,45,116.1,560.4,72.0,6,74.9,12,0.16,2.98
Leon,Bailey,MID,100,4,5,1964,32,439.1,334.2,532.0,6,130.1,8,0.18,4.58
Douglas Luiz,Soares de Paulo,MID,142,6,7,2922,35,655.4,661.6,242.0,17,155.8,13,0.22,4.37
Jacob,Ramsey,MID,135,6,8,2634,33,496.7,607.2,424.0,13,152.8,11,0.17,4.61
Tim,Iroegbunam,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Diego Carlos,Santos Silva,DEF,4,0,0,205,3,13.2,24.8,32.0,0,7.0,0,0.0,0.0
Anwar,El Ghazi,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Keinan,Davis,FWD,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Boubacar,Kamara,MID,44,0,1,1773,30,123.4,275.8,39.0,0,43.9,3,0.2,2.23
Cameron,Archer,FWD,6,0,0,43,1,2.4,1.8,6.0,0,0.9,0,0.0,0.0
Jaden,Philogene-Bidace,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Frédéric,Guilbert,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Leander,Dendoncker,MID,37,0,0,897,14,96.1,143.4,64.0,0,30.6,4,0.0,3.71
Ludwig,Augustinsson,DEF,2,0,0,76,0,1.9,5.6,35.0,0,4.2,0,0.0,0.0
Kaine,Kesler Hayden,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Ashley,Young,DEF,87,1,0,2031,28,223.4,380.2,81.0,8,68.7,9,0.31,3.86
Lamare,Bogarde,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Filip,Marschall,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Kadan,Young,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Alexandre,Moreno Lopera,DEF,72,0,3,1325,10,321.1,254.4,151.0,5,72.3,7,0.2,4.89
Viljami,Sinisalo,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Jhon,Durán,FWD,11,0,0,126,4,13.4,12.8,51.0,0,7.4,0,0.0,0.0
