element_type,prev_total_points,prev_goals_scored,prev_assists,prev_minutes,prev_goals_conceded,prev_creativity,prev_influence,prev_threat,prev_bonus,prev_ict_index,prev_clean_sheets,prev_cards_per_90,prev_points_per_90,prev_season_played,gw,matches,current_total_points,current_goals_scored,current_assists,current_minutes,current_goals_conceded,current_creativity,current_influence,current_threat,current_bonus,current_ict_index,current_clean_sheets,current_cards_per_90,current_points_per_90,total_points
2,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0,True,35,1,6,0,1,25,0,2.1,4.0,10.0,0,1.6,0,0.0,0.0,6
2,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0,True,36,1,6,0,1,25,0,2.1,4.0,10.0,0,1.6,0,0.0,0.0,6
2,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0,True,37,1,6,0,1,25,0,2.1,4.0,10.0,0,1.6,0,0.0,0.0,6
2,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0,True,38,1,6,0,1,25,0,2.1,4.0,10.0,0,1.6,0,0.0,0.0,6
2,40.0,1.0,2.0,500.0,5.0,180.1,115.2,123.0,2.0,41.4,2.0,0.0,7.2,True,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,24
2,40.0,1.0,2.0,500.0,5.0,180.1,115.2,123.0,2.0,41.4,2.0,0.0,7.2,True,2,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,24
2,40.0,1.0,2.0,500.0,5.0,180.1,115.2,123.0,2.0,41.4,2.0,0.0,7.2,True,3,1,7,0,2,34,1,15.3,23.0,25.0,0,6.3,0,0.0,0.0,24
2,40.0,1.0,2.0,500.0,5.0,180.1,115.2,123.0,2.0,41.4,2.0,0.0,7.2,True,4,1,11,0,3,47,1,27.5,41.0,29.0,0,9.7,0,0.0,0.0,24
2,40.0,1.0,2.0,500.0,5.0,180.1,115.2,123.0,2.0,41.4,2.0,0.0,7.2,True,5,1,14,0,3,126,1,39.2,41.2,54.0,0,13.4,1,0.0,0.0,24
2,40.0,1.0,2.0,500.0,5.0,180.1,115.2,123.0,2.0,41.4,2.0,0.0,7.2,True,6,1,15,0,3,171,2,40.5,41.2,58.0,0,13.9,1,0.0,0.0,24
2,40.0,1.0,2.0,500.0,5.0,180.1,115.2,123.0,2.0,41.4,2.0,0.0,7.2,True,7,1,16,0,3,185,2,56.5,45.6,58.0,0,15.9,1,0.0,0.0,24
2,40.0,1.0,2.0,500.0,5.0,180.1,115.2,123.0,2.0,41.4,2.0,0.0,7.2,True,8,1,16,0,3,185,2,56.5,45.6,58.0,0,15.9,1,0.0,0.0,24
2,40.0,1.0,2.0,500.0,5.0,180.1,115.2,123.0,2.0,41.4,2.0,0.0,7.2,True,9,1,16,0,3,185,2,56.5,45.6,58.0,0,15.9,1,0.0,0.0,24
